IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0051,C001,P009,11/17/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0052,C010,P016,3/21/2025,"Calidad superior, muy contento. Muy recomendable.",3
W0053,C035,P018,6/9/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0054,C025,P019,8/22/2025,"Calidad superior, muy contento. Muy recomendable.",3
W0055,C025,P016,1/3/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0056,C033,P005,7/24/2025,"Es lo que esperaba, nada excepcional. OK.",4
W0057,C034,P004,7/2/2025,"Producto recibido, cumple su función. OK.",4
W0058,C005,P005,3/24/2025,Envío tardío y producto dañado. No volvería a comprar.,5
W0059,C006,P013,3/3/2025,Satisface lo básico. OK.,3
W0060,C035,P016,5/16/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0061,C006,P008,10/24/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0062,C011,P015,8/21/2025,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0063,C019,P002,7/1/2025,"Calidad superior, muy contento. Muy recomendable.",2
W0064,C027,P017,6/18/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0065,C040,P003,9/29/2024,Satisface lo básico. OK.,2
W0066,C038,P016,10/22/2024,"Calidad superior, muy contento. Muy recomendable.",3
W0067,C017,P015,4/19/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0068,C005,P006,11/17/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0069,C017,P014,6/4/2025,Envío tardío y producto dañado. No volvería a comprar.,4
W0070,C007,P016,3/14/2025,Gran relación calidad-precio. Muy recomendable.,5
W0071,C019,P010,4/26/2025,"Calidad superior, muy contento. Muy recomendable.",1
W0072,C004,P019,4/20/2025,"Entrega correcta, sin comentarios adicionales. OK.",2
W0073,C023,P020,10/31/2024,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0074,C007,P005,4/8/2025,"Producto recibido, cumple su función. OK.",4
W0075,C038,P002,7/29/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0076,C027,P011,12/11/2024,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0077,C033,P017,5/5/2025,"Información suficiente, sin mayor novedad. OK.",4
W0078,C022,P010,8/6/2025,"Entrega correcta, sin comentarios adicionales. OK.",2
W0079,C026,P008,3/10/2025,Satisface lo básico. OK.,1
W0080,C001,P013,1/24/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0081,C038,P009,7/20/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0082,C002,P016,3/30/2025,Pésima atención al cliente. No volvería a comprar.,5
W0083,C005,P008,9/20/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",3
W0084,C008,P014,4/11/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0085,C007,P004,7/6/2025,Gran relación calidad-precio. Muy recomendable.,4
W0086,C024,P015,2/11/2025,Pésima atención al cliente. No volvería a comprar.,5
W0087,C027,P005,11/2/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0088,C003,P009,1/29/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0089,C024,P008,12/9/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0090,C026,P002,1/24/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0091,C039,P007,3/27/2025,"Producto recibido, cumple su función. OK.",2
W0092,C037,P005,5/30/2025,Gran relación calidad-precio. Muy recomendable.,5
W0093,C015,P007,11/12/2024,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0094,C010,P009,5/8/2025,Satisface lo básico. OK.,2
W0095,C002,P004,5/15/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0096,C002,P011,7/11/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0097,C008,P017,1/27/2025,"Entrega correcta, sin comentarios adicionales. OK.",3
W0098,C038,P017,5/23/2025,Gran relación calidad-precio. Muy recomendable.,5
W0099,C034,P002,8/13/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0100,C028,P013,9/14/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0101,C006,P003,8/11/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0102,C040,P009,9/14/2024,Pésima atención al cliente. No volvería a comprar.,3
W0103,C039,P013,12/29/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0104,C007,P014,10/13/2024,"Producto recibido, cumple su función. OK.",5
W0105,C028,P007,2/14/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",3
W0106,C026,P015,4/6/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0107,C017,P011,9/27/2024,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0108,C006,P003,2/4/2025,"Producto recibido, cumple su función. OK.",1
W0109,C009,P012,11/30/2024,Pésima atención al cliente. No volvería a comprar.,5
W0110,C008,P011,8/18/2025,"Calidad superior, muy contento. Muy recomendable.",3
W0111,C020,P020,12/28/2024,Gran relación calidad-precio. Muy recomendable.,2
W0112,C031,P005,3/18/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0113,C008,P012,5/21/2025,Satisface lo básico. OK.,4
W0114,C040,P018,8/31/2025,Pésima atención al cliente. No volvería a comprar.,5
W0115,C002,P009,3/24/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0116,C012,P001,10/12/2024,Satisface lo básico. OK.,4
W0117,C010,P003,7/29/2025,"Producto recibido, cumple su función. OK.",5
W0118,C025,P007,6/25/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0119,C021,P010,11/12/2024,Satisface lo básico. OK.,1
W0120,C010,P002,8/19/2025,Gran relación calidad-precio. Muy recomendable.,1
W0121,C029,P009,11/7/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0122,C018,P014,7/17/2025,Gran relación calidad-precio. Muy recomendable.,3
W0123,C008,P014,1/7/2025,Gran relación calidad-precio. Muy recomendable.,5
W0124,C003,P010,8/16/2025,Gran relación calidad-precio. Muy recomendable.,1
W0125,C020,P007,5/6/2025,"Información suficiente, sin mayor novedad. OK.",3
W0126,C008,P011,6/16/2025,"Calidad superior, muy contento. Muy recomendable.",2
W0127,C035,P013,12/1/2024,Satisface lo básico. OK.,3
W0128,C026,P003,2/2/2025,"Producto recibido, cumple su función. OK.",1
W0129,C005,P015,2/6/2025,Satisface lo básico. OK.,5
W0130,C027,P013,9/3/2025,"Calidad superior, muy contento. Muy recomendable.",3
W0131,C040,P006,7/30/2025,Envío tardío y producto dañado. No volvería a comprar.,4
W0132,C016,P004,12/19/2024,"Calidad superior, muy contento. Muy recomendable.",1
W0133,C020,P013,3/27/2025,"Información suficiente, sin mayor novedad. OK.",2
W0134,C033,P003,12/26/2024,Pésima atención al cliente. No volvería a comprar.,2
W0135,C023,P012,5/16/2025,"Información suficiente, sin mayor novedad. OK.",1
W0136,C017,P005,6/27/2025,Gran relación calidad-precio. Muy recomendable.,1
W0137,C032,P006,11/21/2024,Pésima atención al cliente. No volvería a comprar.,4
W0138,C040,P019,6/28/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0139,C031,P003,4/26/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0140,C023,P002,1/20/2025,Envío tardío y producto dañado. No volvería a comprar.,4
W0141,C004,P002,8/5/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0142,C039,P020,11/20/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0143,C029,P002,10/15/2024,Satisface lo básico. OK.,2
W0144,C039,P011,8/13/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0145,C022,P004,12/29/2024,"Producto recibido, cumple su función. OK.",2
W0146,C016,P002,12/19/2024,"Entrega correcta, sin comentarios adicionales. OK.",5
W0147,C011,P020,2/27/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0148,C039,P011,8/11/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0149,C036,P004,5/7/2025,Envío tardío y producto dañado. No volvería a comprar.,5
W0150,C022,P005,3/18/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0151,C009,P013,4/8/2025,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0152,C022,P013,7/28/2025,Satisface lo básico. OK.,4
W0153,C024,P017,6/13/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0154,C032,P011,6/26/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0155,C007,P010,12/18/2024,Pésima atención al cliente. No volvería a comprar.,1
W0156,C040,P011,6/27/2025,"Calidad superior, muy contento. Muy recomendable.",2
W0157,C040,P006,2/1/2025,"Información suficiente, sin mayor novedad. OK.",1
W0158,C024,P014,1/29/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",5
W0159,C029,P010,4/8/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0160,C024,P007,1/31/2025,Pésima atención al cliente. No volvería a comprar.,4
W0161,C025,P010,6/23/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",2
W0162,C009,P020,10/20/2024,"Producto recibido, cumple su función. OK.",4
W0163,C036,P012,7/12/2025,Satisface lo básico. OK.,3
W0164,C011,P003,6/30/2025,Gran relación calidad-precio. Muy recomendable.,4
W0165,C015,P003,8/31/2025,"Es lo que esperaba, nada excepcional. OK.",4
W0166,C026,P002,2/28/2025,"No funciona como esperaba, decepcionado. No volvería a comprar.",1
W0167,C015,P012,9/13/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0168,C009,P005,9/22/2024,"Calidad superior, muy contento. Muy recomendable.",2
W0169,C029,P016,9/4/2025,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0170,C010,P007,12/17/2024,Pésima atención al cliente. No volvería a comprar.,4
W0171,C019,P004,8/20/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0172,C040,P014,1/1/2025,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0173,C002,P018,5/13/2025,Pésima atención al cliente. No volvería a comprar.,2
W0174,C028,P010,5/13/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0175,C012,P014,12/19/2024,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0176,C034,P003,12/4/2024,Pésima atención al cliente. No volvería a comprar.,1
W0177,C031,P013,3/6/2025,"Calidad superior, muy contento. Muy recomendable.",3
W0178,C023,P001,5/13/2025,"Es lo que esperaba, nada excepcional. OK.",1
W0179,C022,P019,12/8/2024,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0180,C030,P006,10/25/2024,"Entrega correcta, sin comentarios adicionales. OK.",2
W0181,C005,P005,8/26/2025,"Entrega correcta, sin comentarios adicionales. OK.",3
W0182,C003,P007,4/5/2025,"Producto recibido, cumple su función. OK.",3
W0183,C026,P017,1/14/2025,Satisface lo básico. OK.,3
W0184,C013,P002,10/13/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0185,C008,P009,2/21/2025,"Entrega correcta, sin comentarios adicionales. OK.",4
W0186,C022,P013,9/24/2024,"Entrega correcta, sin comentarios adicionales. OK.",4
W0187,C034,P012,2/8/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0188,C039,P014,12/8/2024,"Información suficiente, sin mayor novedad. OK.",3
W0189,C007,P011,4/10/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0190,C028,P020,3/18/2025,"Calidad superior, muy contento. Muy recomendable.",4
W0191,C023,P002,4/26/2025,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0192,C026,P003,8/29/2025,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0193,C029,P020,5/16/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0194,C025,P012,11/8/2024,"Producto recibido, cumple su función. OK.",2
W0195,C024,P015,11/24/2024,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0196,C024,P017,5/9/2025,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0197,C012,P001,11/30/2024,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0198,C017,P009,11/4/2024,"Información suficiente, sin mayor novedad. OK.",3
W0199,C013,P016,1/25/2025,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0200,C006,P015,10/7/2024,"Es lo que esperaba, nada excepcional. OK.",3
